id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.5,1.175,0.3875,35.6920205,15.762322,8.03708325,9.2135875,15.0
1,M,1.425,1.1,0.375,27.54153925,13.39513875,6.860579,7.5126175,9.0
2,F,1.775,1.4375,0.5125,49.2430815,23.71435675,10.16329575,12.6155275,10.0
3,F,1.3625,1.05,0.35,19.901349,8.68912175,4.43669675,6.23689,12.0
4,M,1.3375,1.0,0.2875,20.11397025,9.015141,3.75630875,5.2446575,8.0
5,M,1.3,0.9875,0.3125,16.8679525,7.24329725,3.55786225,4.7910655,10.0
6,F,1.525,1.2,0.35,28.81726675,11.1413535,6.95980225,7.427569,10.0
7,I,1.1,0.85,0.3,12.37455675,5.329706,2.33883375,3.96893,8.0
8,F,1.35,1.025,0.35,23.7285315,10.9145575,5.0178615,6.80388,8.0
9,M,1.375,1.1,0.375,27.0737725,12.00601325,6.7755305,9.07184,10.0
10,M,1.525,1.15,0.3875,29.1149365,12.643877,6.577084,8.9867915,17.0
11,M,1.2875,1.0625,0.375,24.6924145,11.623295,5.556502,7.2291225,7.0
12,I,1.1375,0.875,0.3375,12.34620725,4.91863825,2.70737725,4.1106775,11.0
13,F,1.5375,1.25,0.4375,37.74735925,15.025235,7.767763,12.0485375,18.0
14,F,1.4375,1.1875,0.425,24.76328825,12.34620725,4.86193925,6.23689,10.0
15,F,1.55,1.25,0.4375,34.6147395,15.52135125,6.90310325,11.056305,10.0
16,I,1.1875,0.9625,0.275,14.81261375,6.9456275,2.948348,4.422522,9.0
17,I,0.3875,0.3125,0.1125,0.77961125,0.2551455,0.226796,0.2551455,5.0
18,F,0.9375,0.6875,0.2375,6.76135575,2.6365035,1.6159215,2.26796,7.0
19,F,1.5375,1.175,0.375,31.14192575,13.5227115,6.690482,7.0590255,11.0
20,M,1.2875,1.0,0.3375,20.70930975,7.15824875,5.59902625,5.5281525,10.0
21,I,1.0,0.775,0.25,8.901743,3.78465825,1.871067,2.65067825,8.0
22,M,1.5125,1.225,0.4375,36.117263,14.35902175,7.64019025,11.4815475,14.0
23,F,1.45,1.125,0.4125,26.09571475,10.8011595,5.216308,9.2135875,14.0
24,I,0.5875,0.4375,0.1,1.82854275,0.75126175,0.510291,0.56699,4.0
25,M,1.4625,1.1875,0.4125,35.42270025,12.26115875,4.8477645,11.623295,17.0
26,F,1.5,1.1875,0.4125,29.44095575,13.65028425,7.3992195,8.50485,9.0
27,F,1.65,1.2875,0.425,38.612019,16.40018575,8.60407325,12.757275,19.0
28,M,1.6875,1.2875,0.4125,34.1611475,17.42076775,6.690482,9.48290775,11.0
